Rank,Country (or dependent territory),Population,Date,% of world population,Source
1,Unknown,217,10/24/2014,3%,Official population clock
2,Cambodia,3,10/24/2014,0.04%,Population clock
3,Canada,40,10/24/2014,0.53%,Official population clock
4,China,41,7/1/2014,0.55%,Official estimate
5,Columbia,6,10/24/2014,0.08%,Official population clock
6,Cuba,24,7/1/2014,0.32%,Official annual projection
7,Dominican Republic,5,7/1/2014,0.07%,UN projection[6]
8,Ecuador,5,10/24/2014,0.07%,Official population clock
9,El Salvador,9,8/1/2014,0.12%,Official estimate
10,England,36,10/1/2014,0.48%,Monthly official estimate
11,France,15,7/1/2014,0.20%,Official projection
12,Germany,45,10/24/2014,0.60%,Official population clock
13,Greece,5,7/1/2013,0.07%,Official estimate
14,Guatemala,1,7/1/2014,0.01%,Official projection
15,Haiti,5,10/24/2014,0.07%,Official population clock
16,Netherlands,0,12/31/2013,0.00%,Official estimate
17,Honduras,1,10/24/2014,0.01%,Official population clock
18,Hong,9,12/31/2013,0.12%,Annual official estimate
19,Hungary,4,7/1/2014,0.05%,UN projection
20,India,53,10/1/2014,0.71%,Monthly official estimate
21,Iran,26,7/1/2014,0.35%,Official estimate
22,Ireland,6,7/1/2013,0.08%,Annual official estimate
23,Italy,16,4/30/2014,0.21%,Monthly official estimate
24,Jamaica,11,7/1/2014,0.15%,Official estimate
25,Japan,27,3/29/2014,0.36%,Preliminary 2014 census result
26,Laos,1,7/1/2014,0.01%,Official projection
27,Mexico,35,10/24/2014,0.47%,Official population clock
28,Nicaragua,3,7/1/2014,0.04%,Official Projection
29,* Guam* (USA),4,1/1/2014,0.05%,Annual official estimate
30,Peru,4,8/1/2014,0.05%,Monthly official estimate
31,Philippines,82,7/1/2014,1.09%,Official annual projection
32,Poland,16,7/1/2013,0.21%,Annual official estimate
33,Portugal,3,1/1/2014,0.04%,Official estimate
34,Puerto-Rico,13,12/31/2013,0.17%,Official estimate
35,Scotland,3,7/1/2014,0.04%,Official annual projection
36,South,31,7/1/2014,0.41%,Annual official estimate
37,Taiwan,39,7/1/2014,0.52%,Official annual projection
38,Thailand,6,7/1/2014,0.08%,Official estimate
39,Trinidad and Tobago,1,10/24/2014,0.01%,Official population clock
40,United States,6621,7/1/2014,88.39%,Official annual projection
41,Vietnam,15,7/1/2014,0.20%,Official annual projection
42,Yugoslavia,4,1/1/2014,0.05%,Official estimate
